id,property_incident_id,related_incident_id,link_type,note,created_at,updated_at
1,17831,17818,duplicates,Same event as the village-level stub; this claim sits on the exact parcel (3114 = merged 3116 site) with primary citations.,2026-07-14 15:56:41 -0400,2026-07-14 15:56:41 -0400
2,17840,17819,duplicates,Same event as the village-level stub; detailed claim on 414 E 31st itself.,2026-07-14 15:56:41 -0400,2026-07-14 15:56:41 -0400
3,17862,17820,related,Polk 1901 household detail behind the Baden/Coffield/Bateman house stub; location 3109 vs 3101-3103 flagged.,2026-07-14 15:56:41 -0400,2026-07-14 15:56:41 -0400
4,17861,17817,supports,"NPS narrative + booklet keeper roster deepen the toll-gate stub (1810 origin, Walkers, Scofield signboard, Reese elegy).",2026-07-14 15:56:42 -0400,2026-07-14 15:56:42 -0400
5,17825,17826,supports,The 1913 Sun ad and the 1915 Polk listing document the same Adelaide Hall operation (Christie superintendency).,2026-07-14 15:56:42 -0400,2026-07-14 15:56:42 -0400
6,17856,17863,related,The 1870 Aull-Collyer marriage ties booklet item 25 (the Collyer house) into the Aull family line.,2026-07-14 15:56:42 -0400,2026-07-14 15:56:42 -0400
7,17855,17810,supports,The BRG12 owner-by-owner plat is the land-acquisition instrument behind the Olmsted parkway claim.,2026-07-14 15:56:42 -0400,2026-07-14 15:56:42 -0400
8,17836,17855,related,'Maggie Aull' of the plat's Greenmount lots = Margaret E. Aull of 3116.,2026-07-14 15:56:42 -0400,2026-07-14 15:56:42 -0400
9,17823,17830,related,Aull left Eagle Nest by 1912 (conversion) and died at Rossiter Ave in 1921.,2026-07-14 15:56:43 -0400,2026-07-14 15:56:43 -0400
10,17874,17845,contradicts,1871 terminus timetables + Sun 7/19/1871 'erected recently' vs the 1872 (booklet) / 1873 (CHAP) build dates.,2026-07-14 16:14:10 -0400,2026-07-14 16:14:10 -0400
11,17865,17861,supports,1871: Brady's place at 'the first tollgate' — contemporary corroboration of the tollgate as landmark.,2026-07-14 16:14:10 -0400,2026-07-14 16:14:10 -0400
12,17870,17859,supports,"County-paper arc adds exact date (Wed Jan 10, 5 a.m.), east-side location, frozen-plug cause, 100-car order, site abandonment.",2026-07-14 16:14:10 -0400,2026-07-14 16:14:10 -0400
13,17875,17826,supports,German charity directory keeps Adelaide Hall at 2510 Greenmount into 1918.,2026-07-14 16:14:10 -0400,2026-07-14 16:14:10 -0400
14,17872,17834,supports,The 1886 partition is how the sisters held the ground they rebuilt on in 1895.,2026-07-14 16:14:11 -0400,2026-07-14 16:14:11 -0400
15,17866,17855,related,Aull fighting street-opening commissioners in 1906; the family's lots appear on the later 33rd St plat.,2026-07-14 16:14:11 -0400,2026-07-14 16:14:11 -0400
16,17876,17855,related,Margaret trading York-turnpike lots in the plat era.,2026-07-14 16:14:11 -0400,2026-07-14 16:14:11 -0400
17,17865,17864,supports,1871: Clemens 'the owner of most of the land' at Oxford — three years after laying it off.,2026-07-14 16:14:11 -0400,2026-07-14 16:14:11 -0400
18,17878,17865,supports,Sun 1871: Brady's place at 'the first tollgate' — contemporary sighting of the estate.,2026-07-14 16:30:07 -0400,2026-07-14 16:30:07 -0400
19,17879,6562,related,The Brady/Biays house block = the Terrapin-Oriole Park block; 1934 mansion photo vs 1914-44 park footprint is an open tension.,2026-07-14 16:30:07 -0400,2026-07-14 16:30:07 -0400
20,17877,17861,related,Biays/Brady grounds sat at the 'first tollgate' reach of the turnpike (Gilmor La = Vineyard La).,2026-07-14 16:30:07 -0400,2026-07-14 16:30:07 -0400
