id,address_of_record,created_at,data,filing_date,grant_date,ip_type,match_confidence,number,owner_name,property_id,source,status,title,updated_at
3,"2907 GREENMOUNT AVE., BALTIMORE, MD, 21218",2026-07-11 11:03:34 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""abandon_dt"":""1984-03-31"",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""2907 GREENMOUNT AVE."",""registration_no"":""0000000"",""uspto_status_cd"":""602""}",1982-09-30,,trademark,high,73397883,"FERNANDEZ, JOHN J.",696,uspto_trademark_case_files,abandoned,APC WHOLESALERS,2026-07-11 11:07:33 -0400
4,"2907 GREENMOUNT AVE., BALTIMORE, MD, 21218",2026-07-11 11:03:34 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""abandon_dt"":""1984-03-31"",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""2907 GREENMOUNT AVE."",""registration_no"":""0000000"",""uspto_status_cd"":""602""}",1982-09-30,,trademark,high,73397884,"FERNANDEZ, JOHN J.",696,uspto_trademark_case_files,abandoned,APC,2026-07-11 11:07:33 -0400
5,"3223 Greenmount Avenue, Baltimore, MD, 21208",2026-07-11 11:03:34 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""3223 Greenmount Avenue"",""registration_no"":""2388331"",""uspto_status_cd"":""710""}",1998-05-22,2000-09-19,trademark,high,75489707,"Dryclean MAX, Inc.",767,uspto_trademark_case_files,registered,DRYCLEAN MAX,2026-07-11 12:38:44 -0400
6,"3308 GREENMOUNT AVE, BALTIMORE, MD, 21218",2026-07-11 11:03:34 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""abandon_dt"":""2007-01-26"",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""3308 GREENMOUNT AVE"",""registration_no"":""0000000"",""uspto_status_cd"":""602""}",2006-02-02,,trademark,high,76654495,DECOI ENTERPRISE,772,uspto_trademark_case_files,abandoned,DECOI RECORDS,2026-07-11 11:07:33 -0400
7,"3401 GreenMount Avenue, Baltimore, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""abandon_dt"":""2001-02-21"",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""3401 GreenMount Avenue"",""registration_no"":""0000000"",""uspto_status_cd"":""602""}",2000-03-24,,trademark,high,78000956,Papa Sallis,787,uspto_trademark_case_files,abandoned,"PAPA SALLIS ""SERVES YOU BETTER""",2026-07-11 11:07:33 -0400
8,"3308 Greenmount Ave, Baltimore, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""abandon_dt"":""2007-03-01"",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""3308 Greenmount Ave"",""registration_no"":""0000000"",""uspto_status_cd"":""602""}",2004-11-22,,trademark,high,78520811,"Decoi Enterprise, Inc.",772,uspto_trademark_case_files,abandoned,DECOI,2026-07-11 11:07:33 -0400
9,"428 E. 25th Street, Baltimore, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""428 E. 25th Street"",""registration_no"":""4840363"",""uspto_status_cd"":""700""}",2015-02-27,2015-10-27,trademark,high,86548477,"CCG Management, LLC",864,uspto_trademark_case_files,registered,CCG CONCERTED CARE GROUP,2026-07-11 12:38:45 -0400
11,"3028 Greenmount Ave., Suite 200, Baltimore, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""owner_type"":""20"",""matched_via"":""modern-exact"",""raw_address"":""3028 Greenmount Ave., Suite 200"",""registration_no"":""7164612"",""uspto_status_cd"":""700""}",2020-09-25,2023-09-12,trademark,high,90210313,"Officeflex, LLC",726,uspto_trademark_case_files,registered,OFFICEFLEX,2026-07-11 12:38:46 -0400
12,"2605 Greenmount Avenue, Baltimore, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""abandon_dt"":""2023-03-24"",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""2605 Greenmount Avenue"",""registration_no"":""0000000"",""uspto_status_cd"":""602""}",2021-12-02,,trademark,high,97153648,Parthas LLC,642,uspto_trademark_case_files,abandoned,PARTHAS LLC,2026-07-11 11:07:34 -0400
13,"3028 GREENMOUNT AVE., UNIT #1043, BALTIMORE, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""owner_type"":""31"",""matched_via"":""modern-exact"",""raw_address"":""3028 GREENMOUNT AVE., UNIT #1043"",""registration_no"":""7046357"",""uspto_status_cd"":""700""}",2021-12-08,2023-05-09,trademark,high,97161508,DESOLAR LLC,726,uspto_trademark_case_files,registered,DESOLAR,2026-07-11 11:07:34 -0400
14,"3028 Greenmount Ave, Baltimore, MD, 21218",2026-07-11 11:03:35 -0400,"{""evidence"":""Owner address of record matched a corridor parcel (modern-exact) in the USPTO Trademark Case Files owner table."",""relevance"":""A registered trademark filed from a corridor address — first-class IP provenance for the parcel."",""owner_type"":""10"",""matched_via"":""modern-exact"",""raw_address"":""3028 Greenmount Ave"",""registration_no"":""0000000"",""uspto_status_cd"":""630""}",2022-10-18,,trademark,high,97637378,Anthony Clay,726,uspto_trademark_case_files,pending,CERTIFIED ONES CLOTHING,2026-07-11 11:07:34 -0400
44,"424 E. 33rd St., Baltimore, MD, 21214",2026-07-11 12:38:44 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (cross-33) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""abandon_dt"":""1995-11-23"",""owner_type"":""10"",""matched_via"":""cross-33"",""raw_address"":""424 E. 33rd St."",""corridor_block"":33,""registration_no"":""0000000"",""uspto_status_cd"":""602"",""matched_location"":""424 E. 33rd St.""}",1994-12-13,,trademark,medium,74610598,"Kemon, John",,uspto_trademark_case_files,abandoned,PAWN-IT,2026-07-11 12:39:21 -0400
45,"424 E. 33rd St., Baltimore, MD, 21214",2026-07-11 12:38:44 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (cross-33) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""abandon_dt"":""1995-11-23"",""owner_type"":""10"",""matched_via"":""cross-33"",""raw_address"":""424 E. 33rd St."",""corridor_block"":33,""registration_no"":""0000000"",""uspto_status_cd"":""602"",""matched_location"":""424 E. 33rd St.""}",1994-12-13,,trademark,medium,74610599,"Kemon, John",,uspto_trademark_case_files,abandoned,"PAWN-IT, INC.",2026-07-11 12:39:21 -0400
70,"401 E 31st Street, Baltimore, MD, 21218",2026-07-11 12:38:44 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (cross-31) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""abandon_dt"":""2008-05-20"",""owner_type"":""10"",""matched_via"":""cross-31"",""raw_address"":""401 E 31st Street"",""corridor_block"":31,""registration_no"":""0000000"",""uspto_status_cd"":""602"",""matched_location"":""401 E 31st Street""}",2007-08-09,,trademark,medium,77251678,"FetchFood, Inc.",,uspto_trademark_case_files,abandoned,FETCHFOOD.COM,2026-07-11 12:39:22 -0400
87,"602 E. 30th St., Baltimore, MD, 21218",2026-07-11 12:38:45 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (cross-30) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""abandon_dt"":""2012-05-07"",""owner_type"":""10"",""matched_via"":""cross-30"",""raw_address"":""602 E. 30th St."",""corridor_block"":30,""registration_no"":""0000000"",""uspto_status_cd"":""606"",""matched_location"":""602 E. 30th St.""}",2011-01-13,,trademark,medium,85216838,"Diehl, Colter L",,uspto_trademark_case_files,abandoned,BRÜDER BEER,2026-07-11 12:39:22 -0400
108,"611 E 34th St, Baltimore, MD, 21218",2026-07-11 12:38:45 -0400,"{""geo_box"":""core"",""evidence"":""Owner address of record falls inside the corridor IP box (cross-34) — USPTO Trademark Case Files; no held parcel, ground-anchored."",""relevance"":""A registered trademark filed from within the corridor neighborhood — the neighborhood generates the IP."",""abandon_dt"":""2019-05-08"",""owner_type"":""10"",""matched_via"":""cross-34"",""raw_address"":""611 E 34th St"",""corridor_block"":34,""registration_no"":""0000000"",""uspto_status_cd"":""602"",""matched_location"":""611 E 34th St""}",2018-07-12,,trademark,medium,88035665,DCL Enterprises,,uspto_trademark_case_files,abandoned,PURSUING POSSIBILITIES,2026-07-11 12:39:22 -0400
